PERIODO,PLAN DE ESTUDIOS,NRC,CONECTOR LIGA,LISTA CRUZADA,MATERIA,CURSO,SECC.,TITULO,CREDITO,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,FECHA,,SALA,TIPO,PROFESOR
,PE2016/2022,4077,,,FRM,1100,26,TEOLOGIA I (ING),6,,,,,08:30 -10:20,,06-03-2023,,,CLAS,CISTERNAS/ELGUETA  JAIME EDUARDO
,PE2016/2022,4077,,,FRM,1100,26,TEOLOGIA I (ING),6,,,,,08:30 -10:20,,23-06-2023,,,EXAM,CISTERNAS/ELGUETA  JAIME EDUARDO
,PE2016/2022,4078,,,FRM,1100,27,TEOLOGIA I (ING),6,,,,,08:30 -10:20,,06-03-2023,,,CLAS,GAZMURI/BARROS  MARIA DEL PILAR
,PE2016/2022,4078,,,FRM,1100,27,TEOLOGIA I (ING),6,,,,,08:30 -10:20,,23-06-2023,,,EXAM,GAZMURI/BARROS  MARIA DEL PILAR
,PE2016/2022,4079,,,FRM,1100,28,TEOLOGIA I (ING),6,,15:30 -17:20,,,,,06-03-2023,,,CLAS,DE LEON /BASSI SOFIA LUCILA
,PE2016/2022,4079,,,FRM,1100,28,TEOLOGIA I (ING),6,,15:30 -17:20,,,,,20-06-2023,,,EXAM,DE LEON /BASSI SOFIA LUCILA
,PE2016/2022,4080,,,FRM,1100,29,TEOLOGIA I (ING),6,,15:30 -17:20,,,,,06-03-2023,,,CLAS,SOUSA/BRAVO GABRIELA
,PE2016/2022,4080,,,FRM,1100,29,TEOLOGIA I (ING),6,,15:30 -17:20,,,,,20-06-2023,,,EXAM,SOUSA/BRAVO GABRIELA
,PE2016/2022,4081,,,FRM,1100,30,TEOLOGIA I (ING),6,,15:30 -17:20,,,,,06-03-2023,,,CLAS,CONTRERAS/RIOS  DANIEL MATIAS
,PE2016/2022,4081,,,FRM,1100,30,TEOLOGIA I (ING),6,,15:30 -17:20,,,,,20-06-2023,,,EXAM,CONTRERAS/RIOS  DANIEL MATIAS
,PE2016/2022,6800,,,FRM,1100,31,TEOLOGIA I (ING),6,,15:30 -17:20,,,,,06-03-2023,,,CLAS,UNDURRAGA/SCHULER FRANCISCA
,PE2016/2022,6800,,,FRM,1100,31,TEOLOGIA I (ING),6,,15:30 -17:20,,,,,20-06-2023,,,EXAM,UNDURRAGA/SCHULER FRANCISCA
,PE2016/2022,6801,,,FRM,1100,32,TEOLOGIA I (ING),6,,,,,08:30 -10:20,,06-03-2023,,,CLAS,UNDURRAGA/SCHULER FRANCISCA
,PE2016/2022,6801,,,FRM,1100,32,TEOLOGIA I (ING),6,,,,,08:30 -10:20,,23-06-2023,,,EXAM,UNDURRAGA/SCHULER FRANCISCA
,Teología III,5141,,,FRM,26,1,CREACION Y CUIDADO DEL MUNDO,6,,,17:30 -19:20,,,,01-03-2023,,,CLAS,LEMAITRE/PALMA  MARIA ISABEL
,Teología III,5141,,,FRM,26,1,CREACION Y CUIDADO DEL MUNDO,6,,,17:30 -19:20,,,,05-07-2023,,,EXAM,LEMAITRE/PALMA  MARIA ISABEL
,Teología III,7629,,,FRM,32,1,CRISTIANOS EN EL SIGLO XXI,6,,17:30 -19:20,,,,,01-03-2023,,,CLAS,GUZMAN/CRUZAT  JOSE ANTONIO
